RRRP3,3R PETROLEUM,ON NM,200.372.163,0.374
ALPA4,ALPARGATAS,PN N1,201.257.220,0.218
ABEV3,AMBEV S/A,ON,4.380.195.841,3.266
AMER3,AMERICANAS,ON NM,596.875.824,0.447
ASAI3,ASSAI,ON NM,794.531.367,0.649
AZUL4,AZUL,PN N2,327.741.172,0.251
B3SA3,B3,ON NM,5.987.625.321,3.788
BPAN4,BANCO PAN,PN N1,341.124.068,0.117
BBSE3,BBSEGURIDADE,ON NM,671.629.692,0.906
BRML3,BR MALLS PAR,ON NM,828.273.884,0.346
BBDC3,BRADESCO,ON EJ N1,1.516.726.535,1.237
BBDC4,BRADESCO,PN EJ N1,5.160.570.290,5.044
BRAP4,BRADESPAR,PN N1,251.402.249,0.345
BBAS3,BRASIL,ON NM,1.420.530.937,2.515
BRKM5,BRASKEM,PNA N1,264.975.728,0.547
BRFS3,BRF SA,ON NM,1.076.512.610,0.854
BPAC11,BTGP BANCO,UNT N2,1.301.655.996,1.589
CRFB3,CARREFOUR BR,ON EJ NM,410.988.561,0.364
CCRO3,CCR SA,ON NM,1.115.693.556,0.774
CMIG4,CEMIG,PN EJ N1,1.448.479.060,0.828
CIEL3,CIELO,ON NM,1.144.359.228,0.241
COGN3,COGNA ON,ON NM,1.828.106.676,0.219
CPLE6,COPEL,PNB N2,1.563.365.506,0.591
CSAN3,COSAN,ON NM,1.171.063.698,1.175
CPFE3,CPFL ENERGIA,ON NM,187.732.538,0.313
CMIN3,CSNMINERACAO,ON N2,1.120.593.365,0.253
CVCB3,CVC BRASIL,ON NM,224.231.429,0.104
CYRE3,CYRELA REALT,ON NM,281.609.283,0.184
DXCO3,DEXCO,ON NM,295.712.871,0.168
ECOR3,ECORODOVIAS,ON NM,339.237.914,0.113
ELET3,ELETROBRAS,ON N1,985.704.248,2.379
ELET6,ELETROBRAS,PNB N1,242.987.127,0.587
EMBR3,EMBRAER,ON NM,734.588.205,0.501
ENBR3,ENERGIAS BR,ON NM,230.931.405,0.258
ENGI11,ENERGISA,UNT N2,248.477.689,0.552
ENEV3,ENEVA,ON NM,1.257.479.978,0.985
EGIE3,ENGIE BRASIL,ON NM,255.217.329,0.571
EQTL3,EQUATORIAL,ON NM,1.100.513.485,1.373
EZTC3,EZTEC,ON NM,101.618.236,0.082
FLRY3,FLEURY,ON NM,303.373.882,0.238
GGBR4,GERDAU,PN N1,1.097.534.498,1.386
GOAU4,GERDAU MET,PN N1,698.275.321,0.371
GOLL4,GOL,PN N2,167.095.214,0.096
NTCO3,GRUPO NATURA,ON NM,834.914.221,0.676
SOMA3,GRUPO SOMA,ON NM,489.316.435,0.261
HAPV3,HAPVIDA,ON NM,4.454.692.382,1.351
HYPE3,HYPERA,ON NM,410.253.528,0.849
IGTI11,IGUATEMI S.A,UNT N1,180.013.980,0.18
IRBR3,IRBBRASIL RE,ON NM,1.255.286.531,0.166
ITSA4,ITAUSA,PN N1,4.736.140.654,2.229
ITUB4,ITAUUNIBANCO,PN N1,4.781.077.143,6.112
JBSS3,JBS,ON NM,1.290.736.673,2.326
JHSF3,JHSF PART,ON NM,305.915.142,0.103
KLBN11,KLABIN S/A,UNT N2,812.994.397,0.878
RENT3,LOCALIZA,ON NM,594.670.317,1.632
LCAM3,LOCAMERICA,ON NM,321.385.288,0.403
LWSA3,LOCAWEB,ON NM,418.965.264,0.14
LREN3,LOJAS RENNER,ON NM,977.821.540,1.235
MGLU3,MAGAZ LUIZA,ON NM,2.896.234.638,0.39
MRFG3,MARFRIG,ON NM,348.234.011,0.243
CASH3,MELIUZ,ON NM,548.153.725,0.038
BEEF3,MINERVA,ON NM,260.409.710,0.191
MRVE3,MRV,ON ED NM,294.647.234,0.123
MULT3,MULTIPLAN,ON EJ N2,272.718.548,0.332
PCAR3,P.ACUCAR-CBD,ON NM,156.946.474,0.142
PETR3,PETROBRAS,ON N2,2.706.334.382,4.267
PETR4,PETROBRAS,PN N2,4.566.442.248,6.547
PRIO3,PETRORIO,ON NM,839.159.130,0.985
PETZ3,PETZ,ON NM,336.154.589,0.198
POSI3,POSITIVO TEC,ON NM,78.053.723,0.026
QUAL3,QUALICORP,ON NM,277.027.077,0.197
RADL3,RAIADROGASIL,ON NM,1.071.076.905,1.16
RDOR3,REDE D OR,ON NM,772.010.260,1.246
RAIL3,RUMO S.A.,ON NM,1.216.056.103,1.103
SBSP3,SABESP,ON NM,340.001.934,0.775
SANB11,SANTANDER BR,UNT,362.703.399,0.581
CSNA3,SID NACIONAL,ON,642.398.790,0.577
SLCE3,SLC AGRICOLA,ON NM,96.270.946,0.235
SULA11,SUL AMERICA,UNT N2,283.167.854,0.345
SUZB3,SUZANO S.A.,ON NM,726.779.281,1.897
TAEE11,TAESA,UNT N2,218.568.234,0.465
VIVT3,TELEF BRASIL,ON,413.890.875,1.051
TIMS3,TIM,ON EJ NM,808.619.532,0.554
TOTS3,TOTVS,ON NM,519.851.955,0.68
UGPA3,ULTRAPAR,ON NM,1.086.067.887,0.721
USIM5,USIMINAS,PNA N1,514.680.651,0.252
VALE3,VALE,ON NM,3.768.748.489,15.338
VIIA3,VIA,ON NM,1.596.295.753,0.198
VBBR3,VIBRA,ON NM,1.131.883.365,1.031
WEGE3,WEG,ON EJ NM,1.484.859.030,2.139
YDUQ3,YDUQS PART,ON NM,300.833.122,0.233